Time,NodeID,NodeEventName,NumIndividuals,NumInfected,Geographic:A:NumIndividuals,Geographic:A:NumInfected,Geographic:B:NumIndividuals,Geographic:B:NumInfected,Geographic:C:NumIndividuals,Geographic:C:NumInfected,Geographic:D:NumIndividuals,Geographic:D:NumInfected
10,340461476,NegativeResult,1000,443,253,18,239,128,274,159,234,138
15,340461476,NegativeResult,1001,434,253,14,239,130,274,160,235,130
20,340461476,PositiveResult,1001,246,253,15,239,79,274,86,235,66
25,340461476,PositiveResult,1001,120,253,13,239,40,274,37,235,30
101,340461476,NegativeResult,1000,209,253,209,239,0,274,0,234,0
106,340461476,NegativeResult,1000,103,253,103,239,0,274,0,234,0
111,340461476,NegativeResult,1000,52,253,52,239,0,274,0,234,0
116,340461476,NegativeResult,1000,24,253,24,239,0,274,0,234,0
121,340461476,NegativeResult,1000,13,253,13,239,0,274,0,234,0
126,340461476,NegativeResult,1000,5,253,5,239,0,274,0,234,0
350,340461476,NegativeResult,1001,6,251,0,241,0,276,0,233,6
355,340461476,NegativeResult,1001,5,251,0,241,0,276,0,233,5
360,340461476,NegativeResult,1001,2,251,0,241,0,276,0,233,2
365,340461476,NegativeResult,1001,2,251,0,241,0,276,0,233,2
401,340461476,NegativeResult,1002,174,251,114,241,59,276,0,234,1
406,340461476,NegativeResult,1002,313,251,67,241,215,276,30,234,1
411,340461476,NegativeResult,1001,424,250,42,241,118,276,257,234,7
416,340461476,PositiveResult,1001,437,250,32,241,48,276,143,234,214
421,340461476,NegativeResult,1001,229,250,18,241,27,276,72,234,112
426,340461476,NegativeResult,1001,108,250,9,241,16,276,27,234,56
700,340461476,NegativeResult,1004,0,251,0,240,0,277,0,236,0
705,340461476,NegativeResult,1004,0,251,0,240,0,277,0,236,0
710,340461476,NegativeResult,1004,0,251,0,240,0,277,0,236,0
715,340461476,NegativeResult,1004,1,251,0,240,0,277,0,236,1
