Year, NodeId, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(VaccineA),Vaccinated
1960.08,1,17396,0,0,0,0,0,0,0,0,0,0,3645,3645
1960.17,1,17396,0,0,0,0,0,0,0,0,0,0,3762,117
1960.25,1,17396,0,0,0,0,0,0,0,0,0,0,3911,149
1960.33,1,17396,0,0,0,0,0,0,0,0,0,0,4039,128
1960.42,1,17396,0,0,0,0,0,0,0,0,0,0,4185,146
1960.5,1,17396,0,0,0,0,0,0,0,0,0,0,4357,172
1960.58,1,17396,0,0,0,0,0,0,0,0,0,0,4490,133
1960.67,1,17396,0,0,0,0,0,0,0,0,0,0,4645,155
1960.75,1,17396,0,0,0,0,0,0,0,0,0,0,4774,129
1960.83,1,17396,0,0,0,0,0,0,0,0,0,0,4896,122
1960.92,1,17396,0,0,0,0,0,0,0,0,0,0,5050,154
1961,1,17396,0,0,0,0,0,0,0,0,0,0,5186,136
1961.08,1,17396,0,0,0,0,0,0,0,0,0,0,5324,138
1961.17,1,17396,0,0,0,0,0,0,0,0,0,0,5470,146
1961.25,1,17396,0,0,0,0,0,0,0,0,0,0,5643,173
1961.33,1,17396,0,0,0,0,0,0,0,0,0,0,5772,129
1961.42,1,17396,0,0,0,0,0,0,0,0,0,0,5911,139
1961.5,1,17396,0,0,0,0,0,0,0,0,0,0,6068,157
1961.58,1,17396,0,0,0,0,0,0,0,0,0,0,6194,126
1961.67,1,17396,0,0,0,0,0,0,0,0,0,0,6321,127
1961.75,1,17396,0,0,0,0,0,0,0,0,0,0,6490,169
1961.83,1,17396,0,0,0,0,0,0,0,0,0,0,6618,128
1961.92,1,17396,0,0,0,0,0,0,0,0,0,0,6743,125
1962,1,17396,0,0,0,0,0,0,0,0,0,0,6897,154
1962.08,1,17396,0,0,0,0,0,0,0,0,0,0,7038,141
1962.17,1,17396,0,0,0,0,0,0,0,0,0,0,7191,153
1962.25,1,17396,0,0,0,0,0,0,0,0,0,0,7350,159
1962.33,1,17396,0,0,0,0,0,0,0,0,0,0,7473,123
1962.42,1,17396,0,0,0,0,0,0,0,0,0,0,7627,154
1962.5,1,17396,0,0,0,0,0,0,0,0,0,0,7758,131
1962.58,1,17396,0,0,0,0,0,0,0,0,0,0,7908,150
1962.67,1,17396,0,0,0,0,0,0,0,0,0,0,8051,143
1962.75,1,17396,0,0,0,0,0,0,0,0,0,0,8182,131
1962.83,1,17396,0,0,0,0,0,0,0,0,0,0,8332,150
1962.92,1,17396,0,0,0,0,0,0,0,0,0,0,8484,152
1963,1,17396,0,0,0,0,0,0,0,0,0,0,8620,136
1963.08,1,17396,0,0,0,0,0,0,0,0,0,0,8914,294
1963.17,1,17396,0,0,0,0,0,0,0,0,0,0,9332,418
1963.25,1,17396,0,0,0,0,0,0,0,0,0,0,9756,424
1963.33,1,17396,0,0,0,0,0,0,0,0,0,0,10236,480
1963.42,1,17396,0,0,0,0,0,0,0,0,0,0,10628,392
1963.5,1,17396,0,0,0,0,0,0,0,0,0,0,11082,454
1963.58,1,17396,0,0,0,0,0,0,0,0,0,0,11487,405
1963.67,1,17396,0,0,0,0,0,0,0,0,0,0,11908,421
1963.75,1,17396,0,0,0,0,0,0,0,0,0,0,12343,435
1963.83,1,17396,0,0,0,0,0,0,0,0,0,0,12781,438
1963.92,1,17396,0,0,0,0,0,0,0,0,0,0,13213,432
1964,1,17396,0,0,0,0,0,0,0,0,0,0,13648,435
1964.08,1,17396,0,0,0,0,0,0,0,0,0,0,13916,268
1964.17,1,17396,0,0,0,0,0,0,0,0,0,0,13918,2
1964.25,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
1964.33,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
1964.42,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
1964.5,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
1964.58,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
1964.67,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
1964.75,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
1964.83,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
1964.92,1,17396,0,0,0,0,0,0,0,0,0,0,13918,0
